filename,prob
1,0.6123522
2,0.38488000000000006
3,0.13894363333333334
4,0.0014828333333333334
5,0.338168
6,0.017747
7,0.0013823333333333335
8,0.9981666666666666
9,0.005067333333333333
10,0.14710866666666667
11,0.9591666666666666
12,0.13031333333333334
13,0.3667833333333333
14,0.0007659666666666666
15,0.5509333333333334
16,0.21301699999999998
17,0.9263333333333333
18,0.30396263333333334
19,0.0011572333333333333
20,0.7821999999999999
21,0.985
22,0.002215433333333333
23,0.9723333333333333
24,0.015565366666666669
25,0.46062
26,0.9954333333333333
27,0.9982000000000001
28,0.04799476666666667
29,0.6663024666666667
30,0.6109146666666666
31,0.3626566666666667
32,0.1416508
33,0.5447850000000001
34,0.9954333333333333
35,0.33621233333333334
36,0.6885833333333333
37,0.999
38,0.5649433333333334
39,0.34163136666666666
40,0.7167666666666667
41,0.08657933333333334
42,0.1791206
43,0.9760333333333334
44,0.9993333333333334
45,0.9961666666666668
46,0.9983333333333334
47,0.5284153333333333
48,0.3882346666666667
49,0.9996666666666667
50,0.988
51,0.9998333333333335
52,0.09624666666666666
53,0.34401943333333335
54,0.9979999999999999
55,0.4838733333333334
56,0.034650433333333334
57,0.6074999999999999
58,0.6852433333333333
59,0.26053553333333335
60,0.9992000000000001
61,0.8931666666666667
62,0.992
63,0.8034
64,0.6017057333333333
65,0.9993333333333334
66,0.6624230000000001
67,0.6673366666666666
68,0.0844955
69,0.9965666666666667
70,0.9786666666666667
71,0.006057486666666667
72,0.9993333333333334
73,0.631098
74,0.19755770000000003
75,0.9988666666666667
76,0.11841823333333334
77,0.4174063333333333
78,0.33915561999999994
79,0.9119333333333334
80,0.9972333333333333
81,0.24276166666666665
82,0.9987
83,0.6539174666666666
84,0.24897099999999997
85,0.9884333333333334
86,0.5430898333333333
87,0.9825666666666666
88,0.9965666666666667
89,0.9831666666666666
90,0.9840333333333334
91,0.3675682
92,0.031060633333333334
93,0.0015218
94,0.5152666666666667
95,0.9817666666666667
96,0.9948
97,0.39311
98,0.9972333333333333
99,0.7843333333333332
100,0.7088333333333333
101,0.6931666666666666
102,0.9979999999999999
103,0.35852
104,0.19102413333333335
105,0.9845333333333334
106,0.26300866666666667
107,0.0034029
108,0.993
109,0.6836766666666666
110,0.9988666666666667
111,0.6645480666666667
112,0.7734333333333333
113,0.9826
114,0.04314166666666667
115,0.48383466666666664
116,0.7427333333333332
117,0.8938666666666667
118,0.7212333333333333
119,0.5059246666666666
120,0.9044666666666666
121,0.9973333333333333
122,0.2488002
123,0.9747666666666667
124,0.9996666666666667
125,0.0037459
126,0.47608239999999996
127,0.9819333333333334
128,0.6260333333333333
129,0.8942000000000001
130,0.6422658766666666
131,0.9992000000000001
132,0.0760705
133,0.9992000000000001
134,0.9979
135,0.04058443333333333
136,0.05861049999999999
137,0.997
138,0.34363000000000005
139,0.3250366666666667
140,0.2572293333333333
141,0.7608333333333334
142,0.9975666666666667
143,0.036657999999999996
144,0.6321286666666667
145,0.25842190000000004
146,0.6418908666666666
147,0.9497
148,0.999
149,0.999
150,0.9957666666666668
151,0.0008717000000000001
